"PSComputerName","InstalledOn","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","Caption","CSName","Description","FixComments","HotFixID","InstallDate","InstalledBy","Name","ServicePackInEffect","Status"
"DESKTOP-ECBRP6J","17/06/2026 00:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB5044285"",ServicePackInEffect=""""","11","System.String[]","DESKTOP-ECBRP6J","root\cimv2","\\DESKTOP-ECBRP6J\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB5044285"",ServicePackInEffect=""""","https://support.microsoft.com/help/5044285","DESKTOP-ECBRP6J","Security Update","","KB5044285",,"NT AUTHORITY\SYSTEM",,"",
"DESKTOP-ECBRP6J","14/06/2026 00:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB5046247"",ServicePackInEffect=""""","11","System.String[]","DESKTOP-ECBRP6J","root\cimv2","\\DESKTOP-ECBRP6J\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB5046247"",ServicePackInEffect=""""","","DESKTOP-ECBRP6J","Security Update","","KB5046247",,"NT AUTHORITY\SYSTEM",,"",
"DESKTOP-ECBRP6J","14/06/2026 00:00:00","2","Win32_QuickFixEngineering","CIM_LogicalElement","CIM_ManagedSystemElement","Win32_QuickFixEngineering.HotFixID=""KB5044033"",ServicePackInEffect=""""","11","System.String[]","DESKTOP-ECBRP6J","root\cimv2","\\DESKTOP-ECBRP6J\root\cimv2:Win32_QuickFixEngineering.HotFixID=""KB5044033"",ServicePackInEffect=""""","http://support.microsoft.com/?kbid=5044033","DESKTOP-ECBRP6J","Update","","KB5044033",,"NT AUTHORITY\SYSTEM",,"",
